dataset,model,perturbation,p,seed,accuracy,stability
CiteSeer,GCN,random,0.2,4,0.671,0.937
CiteSeer,GCN,degree,0.2,4,0.673,0.976
CiteSeer,GCN,class,0.2,4,0.68,0.985
CiteSeer,GCN,random,0.4,4,0.652,0.874
CiteSeer,GCN,degree,0.4,4,0.666,0.942
CiteSeer,GCN,class,0.4,4,0.682,0.966
CiteSeer,GAT,random,0.1,0,0.68,0.961
CiteSeer,GAT,degree,0.1,0,0.689,0.975
CiteSeer,GAT,class,0.1,0,0.689,0.983
CiteSeer,GAT,random,0.2,0,0.685,0.942
CiteSeer,GAT,degree,0.2,0,0.684,0.966
CiteSeer,GAT,class,0.2,0,0.692,0.975
CiteSeer,GAT,random,0.4,0,0.654,0.872
CiteSeer,GAT,degree,0.4,0,0.678,0.937
CiteSeer,GAT,class,0.4,0,0.683,0.959
CiteSeer,GAT,random,0.1,1,0.623,0.944
CiteSeer,GAT,degree,0.1,1,0.632,0.978
CiteSeer,GAT,class,0.1,1,0.639,0.986
CiteSeer,GAT,random,0.2,1,0.619,0.906
CiteSeer,GAT,degree,0.2,1,0.622,0.939
CiteSeer,GAT,class,0.2,1,0.64,0.971
CiteSeer,GAT,random,0.4,1,0.613,0.867
CiteSeer,GAT,degree,0.4,1,0.616,0.92
CiteSeer,GAT,class,0.4,1,0.648,0.94
CiteSeer,GAT,random,0.1,2,0.67,0.961
CiteSeer,GAT,degree,0.1,2,0.676,0.978
CiteSeer,GAT,class,0.1,2,0.676,0.989
CiteSeer,GAT,random,0.2,2,0.672,0.936
CiteSeer,GAT,degree,0.2,2,0.668,0.961
CiteSeer,GAT,class,0.2,2,0.678,0.971
CiteSeer,GAT,random,0.4,2,0.632,0.855
CiteSeer,GAT,degree,0.4,2,0.671,0.933
CiteSeer,GAT,class,0.4,2,0.689,0.948
CiteSeer,GAT,random,0.1,3,0.655,0.958
CiteSeer,GAT,degree,0.1,3,0.666,0.974
CiteSeer,GAT,class,0.1,3,0.668,0.984
CiteSeer,GAT,random,0.2,3,0.663,0.924
CiteSeer,GAT,degree,0.2,3,0.659,0.968
CiteSeer,GAT,class,0.2,3,0.667,0.977
CiteSeer,GAT,random,0.4,3,0.636,0.869
CiteSeer,GAT,degree,0.4,3,0.659,0.932
CiteSeer,GAT,class,0.4,3,0.671,0.948
CiteSeer,GAT,random,0.1,4,0.65,0.96
CiteSeer,GAT,degree,0.1,4,0.648,0.976
CiteSeer,GAT,class,0.1,4,0.658,0.975
CiteSeer,GAT,random,0.2,4,0.641,0.933
CiteSeer,GAT,degree,0.2,4,0.648,0.964
CiteSeer,GAT,class,0.2,4,0.66,0.966
CiteSeer,GAT,random,0.4,4,0.622,0.847
CiteSeer,GAT,degree,0.4,4,0.649,0.914
CiteSeer,GAT,class,0.4,4,0.661,0.93
CiteSeer,SAGE,random,0.1,0,0.644,0.962
CiteSeer,SAGE,degree,0.1,0,0.659,0.975
CiteSeer,SAGE,class,0.1,0,0.663,0.982
CiteSeer,SAGE,random,0.2,0,0.645,0.915
CiteSeer,SAGE,degree,0.2,0,0.66,0.957
CiteSeer,SAGE,class,0.2,0,0.663,0.966
CiteSeer,SAGE,random,0.4,0,0.61,0.832
CiteSeer,SAGE,degree,0.4,0,0.633,0.921
CiteSeer,SAGE,class,0.4,0,0.662,0.94
CiteSeer,SAGE,random,0.1,1,0.656,0.957
CiteSeer,SAGE,degree,0.1,1,0.665,0.98
CiteSeer,SAGE,class,0.1,1,0.666,0.984
CiteSeer,SAGE,random,0.2,1,0.636,0.898
CiteSeer,SAGE,degree,0.2,1,0.658,0.961
CiteSeer,SAGE,class,0.2,1,0.673,0.96
CiteSeer,SAGE,random,0.4,1,0.601,0.816
CiteSeer,SAGE,degree,0.4,1,0.647,0.906
CiteSeer,SAGE,class,0.4,1,0.671,0.94
CiteSeer,SAGE,random,0.1,2,0.671,0.948
CiteSeer,SAGE,degree,0.1,2,0.685,0.984
CiteSeer,SAGE,class,0.1,2,0.693,0.99
CiteSeer,SAGE,random,0.2,2,0.657,0.918
CiteSeer,SAGE,degree,0.2,2,0.68,0.968
CiteSeer,SAGE,class,0.2,2,0.693,0.973
CiteSeer,SAGE,random,0.4,2,0.627,0.846
CiteSeer,SAGE,degree,0.4,2,0.664,0.915
CiteSeer,SAGE,class,0.4,2,0.687,0.945
CiteSeer,SAGE,random,0.1,3,0.663,0.959
CiteSeer,SAGE,degree,0.1,3,0.679,0.983
CiteSeer,SAGE,class,0.1,3,0.685,0.987
CiteSeer,SAGE,random,0.2,3,0.647,0.906
CiteSeer,SAGE,degree,0.2,3,0.671,0.963
CiteSeer,SAGE,class,0.2,3,0.683,0.972
CiteSeer,SAGE,random,0.4,3,0.643,0.837
CiteSeer,SAGE,degree,0.4,3,0.661,0.938
CiteSeer,SAGE,class,0.4,3,0.678,0.943
CiteSeer,SAGE,random,0.1,4,0.624,0.956
CiteSeer,SAGE,degree,0.1,4,0.641,0.967
CiteSeer,SAGE,class,0.1,4,0.638,0.985
CiteSeer,SAGE,random,0.2,4,0.624,0.916
CiteSeer,SAGE,degree,0.2,4,0.633,0.96
